,APOGEE_ID,source_id,LOGG,TEFF,ALPHA_M,M_H,C_FE,N_FE,G,BP,RP,J,H,K,LOGG_ERR,TEFF_ERR,ALPHA_M_ERR,M_H_ERR,C_FE_ERR,N_FE_ERR,G_ERR,BP_ERR,RP_ERR,J_ERR,H_ERR,K_ERR,age,age_68u,age_68l,ageErr,logAge,logAgeErr,distKpc,distKpc_68u,distKpc_68l,distErrKpc,logDistKpc,logDistKpcErr
1867,2M19371027+3833366,2052170902004055424,2.5958986282348637,4859.0908203125,-0.022833604365587238,0.17180652916431427,-0.16725054383277893,0.41233944892883295,11.764113426208494,12.396488189697266,11.023545265197754,9.982999801635742,9.472000122070312,9.364999771118164,0.039131470024585724,77.17606353759766,0.010629124008119106,0.029292160645127293,0.03059936873614788,0.04530839994549751,0.00016335685871227137,0.0013479156109730273,0.0009415823034142343,0.01899999938905239,0.016000000759959217,0.017999999225139618,1.6206,1.6784,1.476,0.10119999999999996,0.20967583457109454,0.02790455668122993,1.5020975,1.5152623,1.4902187,0.012521800000000098,0.17669812330577067,0.003618904601927361
2163,2M19424586+4744370,2080647604626475776,2.96643590927124,4704.287109375,-0.0024645309895277023,0.3679721355438232,-0.0288081169128418,0.4039808809757233,12.895377159118652,13.51069450378418,12.166945457458494,11.201000213623047,10.645999908447266,10.520999908447266,0.05167505890130997,76.77312469482422,0.009750284254550934,0.023729383945465088,0.0257156565785408,0.037789221853017814,0.00024935239052115143,0.001497796750051794,0.0005803884566935036,0.01899999938905239,0.017999999225139618,0.014000000432133676,9.2425,11.6114,7.3282,2.1416,0.9657894592451444,0.09994363638644632,1.3640823,1.3851167,1.3431362,0.02099025000000006,0.134840573661812,0.006683155590859496
2535,2M19492609+4352210,2078861001311174272,2.585862159729004,4988.357421875,0.010741125792264938,-0.02518982067704201,-0.2380456626415253,0.40967434644699097,11.28158950805664,11.86404800415039,10.58608341217041,9.642000198364258,9.144000053405762,9.050999641418457,0.04474092647433281,83.9052734375,0.012423707172274591,0.03499860689043999,0.039016623049974435,0.05640216544270515,0.0007471831639016546,0.0012379147962771064,0.0007579572508542576,0.020999999716877937,0.017999999225139618,0.014000000432133676,1.2272,1.273,1.1537,0.059649999999999974,0.08891534660490577,0.0213677555117432,1.2224204,1.2325990999999998,1.2119924000000002,0.010303349999999907,0.08722058888664169,0.003660974882699307
897,2M19155325+4749366,2130919470971121536,2.770921230316162,4813.8212890625,0.02683229744434357,-0.2731735110282898,-0.10782277584075928,0.24412721395492554,12.181296348571776,12.715164184570312,11.517950057983398,10.637999534606934,10.138999938964844,10.050000190734863,0.06019219383597374,76.08687591552734,0.015125469304621218,0.036208845674991615,0.038819558918476105,0.056615844368934624,0.0001764495353384632,0.0018395486028321968,0.0008892155052764307,0.020999999716877937,0.017000000923871994,0.014000000432133676,6.5036,8.2235,5.0165,1.6035,0.8131538223869257,0.10732794008775737,1.4379565,1.4614747,1.4141645,0.023655099999999943,0.15774574828906796,0.007145685342122746
1259,2M19241817+4858463,2129549685640392192,2.577011823654175,4542.23828125,0.003720827400684357,0.2173831015825272,0.02949665486812592,0.33713585138320923,12.607643127441404,13.256041526794435,11.859740257263185,10.838000297546387,10.248000144958496,10.104000091552734,0.0488336905837059,63.66342544555664,0.010255694389343262,0.023904766887426376,0.02218904718756676,0.034156683832407005,0.00020640202974764318,0.0013921452104037613,0.0008794066383788213,0.024000000208616257,0.02800000086426735,0.02199999988079071,10.5517,14.2847,7.5336,3.3755500000000005,1.0233224350973786,0.13893428328559432,1.7511545000000002,1.7910002,1.7159314,0.0375344,0.2433244644942973,0.009297856418336732
2638,2M19515279+4443576,2079284382007063424,1.8987730741500852,4350.79296875,0.18740366399288175,-0.3729193210601807,0.06097972393035889,0.19796372950077054,13.208307266235352,14.050556182861328,12.31128978729248,10.925999641418457,10.217000007629396,10.055999755859377,0.058757524937391274,57.72315216064453,0.01637863926589489,0.029407663270831105,0.02695360593497753,0.0412888377904892,0.00030751339960000124,0.0015290681624979818,0.0008780654337203764,0.01899999938905239,0.017000000923871994,0.014000000432133676,8.0731,17.574,3.9719,6.801050000000001,0.9070403320423434,0.32293615813944065,3.463545,3.7632515,3.1732182,0.29501665000000005,0.5395208345669755,0.03703165344563264
2813,2M19564758+4351029,2078986998473317504,2.9440174102783203,4788.88623046875,-0.0202031210064888,0.14868250489234924,-0.08021681010723114,0.38059717416763306,12.065165519714355,12.699945449829102,11.321118354797365,10.34000015258789,9.760000228881836,9.621999740600586,0.055791862308979034,80.25634002685547,0.011493113823235037,0.028038438409566883,0.03149883449077606,0.04559257999062538,0.0002527231909599248,0.0011382036556562005,0.0008780403693120497,0.028999999165534977,0.028999999165534977,0.019999999552965164,6.0064,7.8108,4.8417,1.48455,0.7786142509412523,0.10384882063893658,0.9412084999999999,0.9560491,0.9258913000000001,0.015078899999999975,-0.026314159389740032,0.006960096831150692
1718,2M19335661+4016243,2053275984209223296,2.954265117645264,4856.9755859375,0.009434336796402931,0.086634062230587,-0.10150815546512604,0.3198038637638092,13.127565383911133,13.732614517211914,12.40094757080078,11.484999656677244,10.904999732971193,10.791000366210938,0.059890564531087875,87.36845397949219,0.012452732771635056,0.029861018061637882,0.036345362663269036,0.05124497413635254,0.00022683883874274893,0.001294520706011104,0.0006766770193111782,0.020999999716877937,0.01899999938905239,0.017999999225139618,6.9835,8.8079,5.4563,1.6758000000000002,0.8440731374824004,0.10398706721654992,1.6030811000000003,1.6311235,1.5790286,0.026047449999999917,0.20495549390220694,0.007048424279490803
847,2M19144865+4552089,2127344585009108352,2.327886819839477,4684.9609375,0.07982143759727478,-0.2615562677383423,-0.05671608448028565,0.34407591819763184,12.736671447753904,13.342584609985352,12.016857147216795,11.010000228881836,10.4399995803833,10.347000122070312,0.061711102724075324,73.81953430175781,0.015528575517237188,0.03313519433140755,0.035855390131473534,0.05218004435300827,0.0002119244559695144,0.0013264530281653641,0.0005357187855836719,0.023000000044703484,0.01899999938905239,0.010999999940395357,7.0403,9.657,5.0582,2.2994,0.8475911656149275,0.14042311707950786,2.5894152999999998,2.6509646,2.5322115000000003,0.05937654999999995,0.4132017097759145,0.00995197578290058
1563,2M19301600+4559582,2126748752788012800,2.721217393875122,4786.19970703125,0.01932307332754135,-0.04820122569799423,-0.18345703184604645,0.40390294790267933,12.919793128967285,13.49098014831543,12.225109100341795,11.293999671936035,10.753999710083008,10.656999588012695,0.06337501108646393,85.62574005126953,0.014051064848899841,0.03071328066289425,0.037736885249614716,0.0529501773416996,0.0002190578929450737,0.0015830620335000045,0.0005899535269016097,0.020999999716877937,0.017000000923871994,0.017000000923871994,5.0493,6.6331,3.9355,1.3487999999999998,0.7032311747109362,0.11335831399939413,2.1568899,2.1952755,2.1171903000000003,0.03904259999999999,0.3338279767933965,0.007864567485764862
